generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1759726710-AAgUVdXMudeqBMbtG47u,2025-10-06 04:58:30.125,0.001905,,-0.003897,0,0,17926,1057,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,tool_calls,tool_calls,5893,3868,,VSC3
gen-1759726707-3LbEZwBCUJyVDHwmRmTL,2025-10-06 04:58:27.689,0.002515,,,0,0,10057,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,0,1148,,VSC3
gen-1759726697-cvbsrXGHUMNiNlio0eEI,2025-10-06 04:58:17.225,0.003379,,-0.002417,0,0,17761,1085,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,tool_calls,tool_calls,6575,1689,,VSC3
gen-1759726696-JGTFmOZGrE2hUXr0D06t,2025-10-06 04:58:16.084,0.002515,,,0,0,10057,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,0,1197,,VSC3
gen-1759726687-LLqs1nELsKBLjYpX4TYB,2025-10-06 04:58:07.208,0.004334,,0.000612,0,0,12245,529,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,tool_calls,tool_calls,2546,1321,,VSC3
gen-1759726686-n8qAzo5hpwn0BJwAsHK2,2025-10-06 04:58:06.423,0.002515,,,0,0,10057,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,1,1298,,VSC3
gen-1759726671-GV1RXK33jd8HHM6XpKoO,2025-10-06 04:57:51.443,0.00319,,,,0,18862,3260,2583,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,tool_calls,12722,2093,,VSC3
gen-1759726670-Xoagl05oAGTM9P9Uy8Ew,2025-10-06 04:57:50.263,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,4,1109,,VSC3
gen-1759726668-DK5Yqj4bImMKLf9MVSHQ,2025-10-06 04:57:48.368,0.000134,,,0,0,386,30,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,277,430,,VSC3
gen-1759725182-gAOY0ur6pjsHFFfAACn8,2025-10-06 04:33:02.626,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,9,1183,,VSC3
gen-1759725181-WLYMvPG3UZt4tLII2ExF,2025-10-06 04:33:01.210,0.002032,,,,0,19656,168,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,2372,1381,,VSC3
gen-1759725175-SqjIHIayxK1NMwYjPeJE,2025-10-06 04:32:55.970,0.001597,,,,0,15436,134,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,tool_calls,1559,1206,,VSC3
gen-1759725174-6NBjrRsktPQEbUYJpYqD,2025-10-06 04:32:54.837,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,0,1205,,VSC3
gen-1759725170-UtM7iq1eskyoWi1bIeKd,2025-10-06 04:32:50.129,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,0,1345,,VSC3
gen-1759725167-wMZegFWC4bnAIgdZfaxf,2025-10-06 04:32:47.411,0.001666,,,,0,14404,564,499,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,tool_calls,3635,1735,,VSC3
gen-1759725166-tXc2c6LzZ9qZShOHylIN,2025-10-06 04:32:45.851,0.000066,,,0,0,135,26,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,207,460,,VSC3
gen-1759724491-wWlRIw78jbh6QZIq69Tp,2025-10-06 04:21:31.244,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,0,1149,,VSC3
gen-1759724488-IcajIJ7cNqpbopmkOqMg,2025-10-06 04:21:28.729,0.001585,,,,0,15306,137,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,1081,630,,VSC3
gen-1759724485-J5YSTckiUnGeganlAHav,2025-10-06 04:21:25.879,0.000662,,-0.003727,0,0,17545,3,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,0,1221,,VSC3
gen-1759724483-JxKfSwNpYZsluJ59TCot,2025-10-06 04:21:23.319,0.002515,,,0,0,10057,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,5,1307,,VSC3
gen-1759724477-U5N7Os92LEjRYaao4wOf,2025-10-06 04:21:17.250,0.001107,,-0.003714,0,0,17058,446,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,tool_calls,tool_calls,2247,1585,,VSC3
gen-1759724476-Jqfz3T1v8ZJ8vZIFR5Is,2025-10-06 04:21:16.120,0.002515,,,0,0,10057,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,5,1078,,VSC3
gen-1759724474-O6Ct16V5585QSoQgl9jR,2025-10-06 04:21:14.365,0.002515,,,0,0,10057,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,7,1100,,VSC3
